Row,f_20,f_50
1,0.123,0
2,1.7,1.22
3,4.103,4.205
4,4.487,3.457
5,3.407,1.439
6,2.868,1.359
7,2.299,1.54
8,2.02,1.476
9,1.731,1.067
10,0.986,0.329
11,0,0
12,0,0
13,2.827,2.23
14,3.391,2.771
15,2.502,1.315
16,3.174,3.093
17,2.988,3.132
18,2.368,2.179
19,2.282,1.769
20,3.304,2.764
21,4.283,3.745
22,2.802,2.236
23,3.227,3.188
24,3.425,3.411
25,2.875,2.392
26,2.142,0.455
27,3.76,3.022
28,4.691,4.13
29,5.05,4.733
30,5.13,4.935
31,4.312,4.19
